Unnamed: 0,ID,year,loan_limit,Gender,approv_in_adv,loan_type,loan_purpose,Credit_Worthiness,open_credit,business_or_commercial,loan_amount,rate_of_interest,Interest_rate_spread,Upfront_charges,term,Neg_ammortization,interest_only,lump_sum_payment,property_value,construction_type,occupancy_type,Secured_by,total_units,income,credit_type,Credit_Score,co-applicant_credit_type,age,submission_of_application,LTV,Region,Security_Type,Status
34,24924,2019,0,2,1,0,0,0,0,1,1.11253736997277,4.25,0.147,-1.220110023154546,360.0,1,1,1,0.2826103352998402,1,1,0,0,0.2964659854780532,0,647,0,0,0,94.14498141,0,1,no
130596,155486,2019,0,2,1,0,0,0,0,1,-0.2734283951976056,3.99,0.0724,0.6883482042592785,360.0,1,1,1,-0.6725005363130403,1,1,0,0,-0.3750266905047859,3,576,0,0,1,92.7852349,3,1,no
51390,76280,2019,0,1,0,0,3,0,0,1,1.2933155132558622,4.375,0.8218,-1.220110023154546,360.0,1,1,0,0.4417954805686536,1,1,0,0,0.7059127391261257,3,878,1,0,0,92.8200692,3,1,no
121144,146034,2019,0,3,0,0,0,0,0,1,-0.3939471573863339,4.045968225309774,0.4462214556572678,0.0,360.0,0,1,1,-2.316448739567036e-16,1,1,0,0,-0.866362794882473,2,777,1,2,0,73.13488828675666,0,1,yes
36325,61215,2019,0,2,0,0,0,0,0,1,0.0278685102742151,4.125,-0.306,-0.7197145170802592,360.0,1,1,1,-0.2347413868238033,1,1,0,0,0.0344200631432867,1,814,0,2,0,80.0245098,0,1,no
101637,126527,2019,0,3,1,0,3,0,0,1,-0.1529096330088773,3.875,0.2011,0.9641955740479364,360.0,1,1,1,0.1632214763482301,1,1,0,0,0.0999315437269783,1,854,0,3,1,58.36614173,3,1,no
98256,123146,2019,0,1,0,0,2,0,0,1,1.4740936565389546,4.375,0.8597,5.17490590389522,240.0,1,1,1,0.9591472026922973,1,1,0,0,0.4438668167913593,0,579,1,3,1,80.01412429,3,1,no
92746,117636,2019,0,2,0,0,3,0,0,1,1.4138342754445905,4.0,0.1472,-1.1845297774407852,360.0,1,1,1,0.8397583437406873,1,1,0,0,2.458344844739877,0,502,1,1,0,82.07964602,3,1,no
4295,29185,2019,0,1,0,0,0,0,0,1,-0.5144659195750623,4.25,0.3777,-1.220110023154546,360.0,1,1,1,-0.8714819678990571,1,1,0,0,-0.7844734441528585,1,867,1,5,0,95.36290323,0,1,no
2167,27057,2019,0,2,1,0,0,0,0,1,-0.2131690141032415,4.5,0.1081,-0.9303056760072757,360.0,0,1,1,-0.4337228184098201,1,1,0,0,0.2964659854780532,1,746,0,0,1,80.02793296,0,1,no
76286,101176,2019,0,1,0,0,3,0,0,1,1.594612418727683,4.5,0.2825,-1.0207400885490718,360.0,1,1,1,1.0785360616439073,1,1,0,0,0.6895348689802029,1,886,1,0,0,79.47154472,2,1,no
143284,168174,2019,0,1,0,0,1,0,0,1,-0.6349846817637905,4.375,1.0495,-0.6583146360646575,180.0,1,1,1,-0.2347413868238033,1,0,0,0,2.8022801178042576,0,796,1,3,0,53.06372549,3,1,no
26435,51325,2019,0,1,0,0,3,0,0,1,-0.9965409683299754,4.045968225309774,0.4462214556572678,0.0,360.0,1,1,1,-2.316448739567036e-16,1,1,0,0,-0.9810078859039332,2,691,1,4,1,73.13488828675666,0,1,yes
